Sr. No.,Tag ID,Chassis/ Vehicle No,NPCI Vehicle Class,Vehicle Class Desc,Plaza Name,Pass Id,Pass Scheme,Pass Type,Pass Name,Start Effective Date,End Effective Date,Trips Allowed,Trips Taken,Channel,Issuance Date,Renewal Dt,Issuance Fees (Rs.),Payment Mode,Payment status,Stlmnt Dt,Stlmnt Amt (Rs.),Stlmnt Status,Current Status,Issued By,NPCI Plaza Id,AutoRenewal,Old Pass Id,New Pass Id,A,B
186,34161FA820328E402B642C20,UP13BJ3931,VC4,Car / Jeep / Van,Kurana Toll Plaza,14574782,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,41,Concessionaire,28/02/2023 14:13:02,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
187,34161FA820328E402B642C20,UP13BJ3931,VC4,Car / Jeep / Van,Kurana Toll Plaza,14015768,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,36,Concessionaire,1/2/2023 16:28,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
188,34161FA820328E402B5E2480,UP13AR8033,VC4,Car / Jeep / Van,Kurana Toll Plaza,14045233,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,2/2/2023 11:35,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
189,34161FA820328E402B5E2480,UP13AR8033,VC4,Car / Jeep / Van,Kurana Toll Plaza,14591999,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,0,Concessionaire,28/02/2023 17:48:28,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
190,34161FA820328E402B4DEB60,UP37N7170,VC4,Car / Jeep / Van,Kurana Toll Plaza,14138105,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,6/2/2023 10:25,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
191,34161FA820328E402B44CEA0,DL12CC5931,VC4,Car / Jeep / Van,Kurana Toll Plaza,14584828,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,30,Self,28/02/2023 15:40:10,N/A,315,,Success,1/3/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
192,34161FA820328E402A8EA0A0,UP13AR6950,VC4,Car / Jeep / Van,Kurana Toll Plaza,14082180,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,18,Concessionaire,3/2/2023 16:25,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
193,34161FA820328E402A8E9CC0,UP37S8382,VC4,Car / Jeep / Van,Kurana Toll Plaza,14049320,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,17,Concessionaire,2/2/2023 13:03,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
194,34161FA820328E402A8E9C60,UP15D3519,VC4,Car / Jeep / Van,Kurana Toll Plaza,14078980,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,37,Concessionaire,3/2/2023 14:32,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
195,34161FA820328E402A8E9C20,UP14BL2995,VC4,Car / Jeep / Van,Kurana Toll Plaza,14004011,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,13,Concessionaire,1/2/2023 13:25,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
196,34161FA820328E402A8E9780,UP37Q8207,VC4,Car / Jeep / Van,Kurana Toll Plaza,14077301,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,10,Self,3/2/2023 13:25,N/A,315,,Success,4/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
197,34161FA820328E402A8E9700,DL2CA9717,VC4,Car / Jeep / Van,Kurana Toll Plaza,14000468,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,31,Concessionaire,1/2/2023 12:37,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
198,34161FA820328E402A7F4440,UP14DL4789,VC4,Car / Jeep / Van,Kurana Toll Plaza,14159515,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,7/2/2023 0:00,28/02/2023 00:00:00,9999,13,Concessionaire,7/2/2023 11:03,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
199,34161FA820328E402A7F4400,UP15CY0877,VC4,Car / Jeep / Van,Kurana Toll Plaza,13996287,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,28,Concessionaire,1/2/2023 11:44,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
200,34161FA820328E402A7B7C20,UP14DE0279,VC4,Car / Jeep / Van,Kurana Toll Plaza,14012219,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,7,Concessionaire,1/2/2023 15:35,N/A,315,,Success,N/A,N/A,N/A,DEACTIVATED/CLOSED TAG,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
201,34161FA820328E402A7B76A0,MAT631531LPP62389,VC4,Car / Jeep / Van,Kurana Toll Plaza,13990741,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,42,Concessionaire,1/2/2023 10:45,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
202,34161FA820328E402A3E54E0,UP13AQ9986,VC4,Car / Jeep / Van,Kurana Toll Plaza,14055289,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,2/2/2023 16:01,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
203,34161FA820328E402A2B5B20,UP13BZ7728,VC4,Car / Jeep / Van,Kurana Toll Plaza,14042533,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,46,Concessionaire,2/2/2023 10:37,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
204,34161FA820328E402A2B4D00,UP37S7576,VC4,Car / Jeep / Van,Kurana Toll Plaza,14137343,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,6/2/2023 9:58,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
205,34161FA820328E402A2B4C40,UP37R3519,VC4,Car / Jeep / Van,Kurana Toll Plaza,14241939,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,11/2/2023 0:00,28/02/2023 00:00:00,9999,6,Concessionaire,11/2/2023 13:23,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
206,34161FA820328E402A2B20C0,DL6CS1263,VC4,Car / Jeep / Van,Kurana Toll Plaza,14290247,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,14/02/2023 00:00:00,28/02/2023 00:00:00,9999,6,Concessionaire,14/02/2023 14:35:35,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
207,34161FA820328E402A20BD60,MAKDF255JDN013732,VC4,Car / Jeep / Van,Kurana Toll Plaza,14238172,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,11/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,11/2/2023 9:08,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
208,34161FA820328E402A20BA80,UP16AE8390,VC4,Car / Jeep / Van,Kurana Toll Plaza,13978376,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,1/2/2023 8:46,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
209,34161FA820328E402A20B960,MA3ERLF1S00620658,VC4,Car / Jeep / Van,Kurana Toll Plaza,13991845,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,21,Concessionaire,1/2/2023 11:00,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
210,34161FA820328E402A20B5C0,UP13BU4551,VC4,Car / Jeep / Van,Kurana Toll Plaza,14565715,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,31,Concessionaire,28/02/2023 12:44:53,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
211,34161FA820328E402A20B5A0,DL7CK4652,VC4,Car / Jeep / Van,Kurana Toll Plaza,13990869,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,19,Concessionaire,1/2/2023 10:47,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
212,34161FA820328E402A20B4E0,UP13B0100,VC4,Car / Jeep / Van,Kurana Toll Plaza,14484127,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,54,Self,26/02/2023 11:00:07,N/A,315,,Success,27/02/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
213,34161FA820328E402A20B3A0,UP15AM4192,VC4,Car / Jeep / Van,Kurana Toll Plaza,14544774,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,45,Concessionaire,28/02/2023 09:19:27,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
214,34161FA820328E402A20B200,UP13BS0705,VC4,Car / Jeep / Van,Kurana Toll Plaza,14324853,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,16/02/2023 00:00:00,28/02/2023 00:00:00,9999,7,Concessionaire,16/02/2023 14:44:56,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
215,34161FA820328E402A20AFA0,UP13BX8593,VC4,Car / Jeep / Van,Kurana Toll Plaza,14011556,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,1/2/2023 15:21,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
216,34161FA820328E402A20AF00,UP83BC8511,VC4,Car / Jeep / Van,Kurana Toll Plaza,14137030,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,39,Concessionaire,6/2/2023 9:41,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
217,34161FA820328E402A20AD80,MA3EHKD1S00618610,VC4,Car / Jeep / Van,Kurana Toll Plaza,14106351,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,4/2/2023 16:13,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
218,34161FA820328E402A0CEFC0,UP37AT7854,VC20,Tata Ace and Similar mini Light Commercial Vehicle,Kurana Toll Plaza,14251791,Monthly Pass Comm,MP,Monthly Pass Comm,12/2/2023 0:00,11/3/2023 0:00,50,31,Concessionaire,12/2/2023 9:14,N/A,5455,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
219,34161FA820328E4029F4E4E0,UP37Q9690,VC4,Car / Jeep / Van,Kurana Toll Plaza,14118010,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,5/2/2023 0:00,28/02/2023 00:00:00,9999,4,Self,5/2/2023 9:36,N/A,315,,Success,6/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
220,34161FA820328E4029F4C980,UP16BX6087,VC4,Car / Jeep / Van,Kurana Toll Plaza,14139725,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,15,Concessionaire,6/2/2023 11:23,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
221,34161FA820328E4029E95E20,UP37R4947,VC4,Car / Jeep / Van,Kurana Toll Plaza,13988509,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,32,Concessionaire,1/2/2023 10:28,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
222,34161FA820328E4029E93FC0,MBHHWB13SNH233856,VC4,Car / Jeep / Van,Kurana Toll Plaza,14097256,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,4/2/2023 11:00,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
223,34161FA820328E4029E91740,UP13BY8120,VC4,Car / Jeep / Van,Kurana Toll Plaza,14104411,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,4/2/2023 15:03,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
224,34161FA820328E4029E91500,UP13AS7065,VC4,Car / Jeep / Van,Kurana Toll Plaza,13995559,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,17,Concessionaire,1/2/2023 11:38,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
225,34161FA820328E4029E914A0,UP37R0384,VC4,Car / Jeep / Van,Kurana Toll Plaza,13988788,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,43,Concessionaire,1/2/2023 10:30,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
226,34161FA820328E4029E91460,UP13BY8804,VC4,Car / Jeep / Van,Kurana Toll Plaza,14552146,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,50,Concessionaire,28/02/2023 09:55:52,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
227,34161FA820328E4029E91440,UP16DH7587,VC4,Car / Jeep / Van,Kurana Toll Plaza,14049078,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,22,Concessionaire,2/2/2023 12:57,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
228,34161FA820328E4029E913E0,UP13BU4539,VC4,Car / Jeep / Van,Kurana Toll Plaza,14049136,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,39,Concessionaire,2/2/2023 12:58,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
229,34161FA820328E4029E913C0,UP37L7983,VC4,Car / Jeep / Van,Kurana Toll Plaza,13993225,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,15,Concessionaire,1/2/2023 11:10,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
230,34161FA820328E4029E91320,HR26EB6202,VC4,Car / Jeep / Van,Kurana Toll Plaza,14455954,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,0,Self,24/02/2023 15:49:51,N/A,315,,Success,25/02/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
231,34161FA820328E4029E91320,HR26EB6202,VC4,Car / Jeep / Van,Kurana Toll Plaza,14290918,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,14/02/2023 00:00:00,28/02/2023 00:00:00,9999,0,Self,14/02/2023 15:10:10,N/A,315,,Success,15/02/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
232,34161FA820328E4029E91000,UP13CT3808,VC20,Tata Ace and Similar mini Light Commercial Vehicle,Kurana Toll Plaza,14562027,Monthly Pass Comm,MP,Monthly Pass Comm,1/3/2023 0:00,31/03/2023 00:00:00,50,50,Concessionaire,28/02/2023 11:58:00,N/A,5455,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
233,34161FA820328E4029E90D60,UP13BZ5001,VC4,Car / Jeep / Van,Kurana Toll Plaza,14309528,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,15/02/2023 00:00:00,28/02/2023 00:00:00,9999,6,Concessionaire,15/02/2023 16:19:53,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
234,34161FA820328E4029E6B020,UP13BH0100,VC4,Car / Jeep / Van,Kurana Toll Plaza,14105734,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,27,Concessionaire,4/2/2023 15:50,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
235,34161FA820328E4029C4E8A0,DL12CC3913,VC4,Car / Jeep / Van,Kurana Toll Plaza,14080249,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,3/2/2023 15:14,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
236,34161FA820328E4029C4E360,UP37S1091,VC4,Car / Jeep / Van,Kurana Toll Plaza,14141243,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,18,Concessionaire,6/2/2023 12:16,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
237,34161FA820328E4029C4DE00,DL4CAP8458,VC4,Car / Jeep / Van,Kurana Toll Plaza,13991628,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,26,Concessionaire,1/2/2023 10:57,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
238,34161FA820328E4029C4DDE0,DL1CAE0523,VC4,Car / Jeep / Van,Kurana Toll Plaza,14101377,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,17,Concessionaire,4/2/2023 13:07,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
239,34161FA820328E4029B36780,UP37E3246,VC4,Car / Jeep / Van,Kurana Toll Plaza,13994049,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,1/2/2023 11:20,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
240,34161FA820328E4029B1D100,UP15DT4089,VC4,Car / Jeep / Van,Kurana Toll Plaza,14584458,Monthly Pass Comm,MP,Monthly Pass Comm,1/3/2023 0:00,31/03/2023 00:00:00,50,50,Concessionaire,28/02/2023 15:27:42,N/A,3380,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
241,34161FA820328E4029B1D100,UP15DT4089,VC4,Car / Jeep / Van,Kurana Toll Plaza,14584432,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,0,Concessionaire,28/02/2023 15:26:27,N/A,315,,Success,N/A,N/A,N/A,DEACTIVATED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
242,34161FA820328E40297FEB40,UP14EK5517,VC4,Car / Jeep / Van,Kurana Toll Plaza,14001489,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,55,Concessionaire,1/2/2023 12:49,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
243,34161FA820328E40297FE940,UP13AP9077,VC4,Car / Jeep / Van,Kurana Toll Plaza,14099713,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,22,Concessionaire,4/2/2023 12:13,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
244,34161FA820328E40297EB5E0,MBHCZC63SJJ276660,VC4,Car / Jeep / Van,Kurana Toll Plaza,13985558,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,105,Concessionaire,1/2/2023 10:02,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
245,34161FA820328E402978E060,DL4CND5942,VC4,Car / Jeep / Van,Kurana Toll Plaza,14081133,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,14,Concessionaire,3/2/2023 15:45,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
246,34161FA820328E4029789060,UP37R7188,VC4,Car / Jeep / Van,Kurana Toll Plaza,14041355,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,21,Concessionaire,2/2/2023 10:17,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
247,34161FA820328E4029789060,UP37R7188,VC4,Car / Jeep / Van,Kurana Toll Plaza,14558950,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,6,Concessionaire,28/02/2023 10:59:20,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
248,34161FA820328E40296D0080,DL8CU5492,VC4,Car / Jeep / Van,Kurana Toll Plaza,14009649,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,23,Concessionaire,1/2/2023 14:51,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
249,34161FA820328E40296B3EC0,UP37F5739,VC4,Car / Jeep / Van,Kurana Toll Plaza,14255669,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,12/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,12/2/2023 13:53,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
250,34161FA820328E402967ABC0,UP13AV9000,VC4,Car / Jeep / Van,Kurana Toll Plaza,14545608,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,46,Concessionaire,28/02/2023 09:23:46,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
251,34161FA820328E4029465BA0,UP13BP8338,VC4,Car / Jeep / Van,Kurana Toll Plaza,14157306,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,7/2/2023 0:00,28/02/2023 00:00:00,9999,10,Concessionaire,7/2/2023 9:21,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
252,34161FA820328E40293933A0,UP37D3806,VC4,Car / Jeep / Van,Kurana Toll Plaza,13991548,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,12,Concessionaire,1/2/2023 10:56,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
253,34161FA820328E40292C2040,MA3ESKD1S00416146,VC4,Car / Jeep / Van,Kurana Toll Plaza,14078692,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,49,Concessionaire,3/2/2023 14:18,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
254,34161FA820328E40292C1F80,UP13BM1235,VC4,Car / Jeep / Van,Kurana Toll Plaza,14204706,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,9/2/2023 0:00,28/02/2023 00:00:00,9999,5,Concessionaire,9/2/2023 13:38,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
255,34161FA820328E40292C1EE0,DL5CT7110,VC4,Car / Jeep / Van,Kurana Toll Plaza,14042614,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,33,Concessionaire,2/2/2023 10:38,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
256,34161FA820328E40292C1EA0,MALBH512LMM099713,VC4,Car / Jeep / Van,Kurana Toll Plaza,14143459,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,6/2/2023 13:59,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
257,34161FA820328E40292C1620,MBJAA3GS900520989,VC4,Car / Jeep / Van,Kurana Toll Plaza,14042877,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,17,Concessionaire,2/2/2023 10:44,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
